customer_id,signup_date,city,acquisition_channel
CUST000007,3/21/2025,Pune,Organic
CUST000008,2/7/2025,Kolkata,Referral
CUST000009,2/25/2025,Delhi,Paid
CUST000010,1/28/2025,Hyderabad,Paid
CUST000011,1/18/2025,Kolkata,Organic
CUST000014,7/3/2025,Bengaluru,Paid
CUST000015,2/14/2025,Ahmedabad,Organic
CUST000017,4/11/2025,Mumbai,Organic
CUST000019,2/3/2025,Bengaluru,Organic
CUST000020,1/10/2025,Pune,Paid
CUST000021,5/3/2025,Kolkata,Organic
CUST000025,1/15/2025,Bengaluru,Paid
CUST000027,1/27/2025,Pune,Social
CUST000028,6/24/2025,Pune,Paid
CUST000030,5/23/2025,Delhi,Referral
CUST000037,6/9/2025,Mumbai,Referral
CUST000039,3/14/2025,Pune,Organic
CUST000042,5/21/2025,Bengaluru,Organic
CUST000043,5/1/2025,Kolkata,Organic
CUST000044,1/19/2025,Bengaluru,Organic
CUST000049,3/1/2025,Hyderabad,Organic
CUST000056,4/3/2025,Mumbai,Paid
CUST000057,12/30/2024,Hyderabad,Organic
CUST000059,2/26/2025,Mumbai,Organic
CUST000060,1/30/2025,Kolkata,Organic
CUST000065,4/3/2025,Bengaluru,Organic
CUST000066,12/16/2024,Pune,Organic
CUST000072,3/26/2025,Bengaluru,Organic
CUST000073,1/18/2025,Hyderabad,Paid
CUST000075,12/1/2024,Hyderabad,Organic
CUST000077,5/6/2025,Mumbai,Social
CUST000083,1/21/2025,Pune,Referral
CUST000084,3/31/2025,Pune,Organic
CUST000087,12/29/2024,Hyderabad,Social
CUST000088,1/15/2025,Pune,Paid
CUST000090,3/7/2025,Pune,Organic
CUST000094,7/10/2025,Delhi,Social
CUST000097,5/11/2025,Mumbai,Referral
CUST000098,3/17/2025,Chennai,Social
CUST000100,12/25/2024,Hyderabad,Social
CUST000102,11/14/2024,Delhi,Organic
CUST000103,12/27/2024,Ahmedabad,Organic
CUST000105,2/14/2025,Pune,Organic
CUST000106,2/20/2025,Mumbai,Social
CUST000107,4/25/2025,Pune,Organic
CUST000108,3/1/2025,Bengaluru,Organic
CUST000109,1/18/2025,Bengaluru,Social
CUST000110,3/30/2025,Mumbai,Organic
CUST000111,8/3/2025,Mumbai,Organic
CUST000113,2/9/2025,Mumbai,Referral
CUST000115,2/17/2025,Mumbai,Referral
CUST000117,1/27/2025,Delhi,Referral
CUST000120,1/10/2025,Ahmedabad,Referral
CUST000121,12/27/2024,Pune,Organic
CUST000123,12/19/2024,Bengaluru,Social
CUST000124,3/9/2025,Delhi,Paid
CUST000127,12/29/2024,Ahmedabad,Organic
CUST000128,3/18/2025,Mumbai,Referral
CUST000129,2/18/2025,Bengaluru,Paid
CUST000131,3/25/2025,Hyderabad,Organic
CUST000134,3/5/2025,Pune,Paid
CUST000135,5/1/2025,Bengaluru,Paid
CUST000139,11/27/2024,Delhi,Referral
CUST000140,2/15/2025,Bengaluru,Paid
CUST000141,2/22/2025,Bengaluru,Social
CUST000142,2/21/2025,Delhi,Organic
CUST000143,2/28/2025,Mumbai,Organic
CUST000144,2/5/2025,Kolkata,Social
CUST000146,1/5/2025,Delhi,Referral
CUST000147,12/31/2024,Bengaluru,Referral
CUST000148,8/1/2025,Ahmedabad,Social
CUST000149,12/20/2024,Bengaluru,Referral
CUST000150,3/16/2025,Ahmedabad,Organic
CUST000151,1/2/2025,Hyderabad,Organic
CUST000153,4/7/2025,Hyderabad,Organic
CUST000154,1/1/2025,Delhi,Paid
CUST000155,3/23/2025,Delhi,Organic
CUST000158,12/7/2024,Hyderabad,Referral
CUST000159,1/10/2025,Pune,Organic
CUST000161,12/30/2024,Bengaluru,Organic
CUST000163,1/29/2025,Mumbai,Organic
CUST000165,2/24/2025,Bengaluru,Paid
CUST000166,1/26/2025,Mumbai,Organic
CUST000168,2/3/2025,Delhi,Organic
CUST000169,7/25/2025,Bengaluru,Paid
CUST000170,3/10/2025,Bengaluru,Referral
CUST000172,6/29/2025,Pune,Referral
CUST000174,4/11/2025,Bengaluru,Referral
CUST000175,3/12/2025,Pune,Organic
CUST000178,12/25/2024,Ahmedabad,Paid
CUST000180,2/8/2025,Mumbai,Social
CUST000188,12/15/2024,Ahmedabad,Social
CUST000190,2/8/2025,Pune,Paid
CUST000191,2/11/2025,Kolkata,Organic
CUST000193,12/5/2024,Mumbai,Paid
CUST000194,2/23/2025,Bengaluru,Paid
CUST000197,5/29/2025,Chennai,Organic
CUST000198,12/17/2024,Hyderabad,Organic
CUST000200,12/12/2024,Chennai,Organic
CUST000201,12/25/2024,Bengaluru,Organic
CUST000203,2/28/2025,Kolkata,Referral
CUST000211,11/28/2024,Mumbai,Paid
CUST000214,1/3/2025,Ahmedabad,Organic
CUST000215,12/27/2024,Mumbai,Paid
CUST000216,1/16/2025,Mumbai,Paid
CUST000217,2/5/2025,Bengaluru,Paid
CUST000218,12/27/2024,Chennai,Organic
CUST000219,4/28/2025,Hyderabad,Paid
CUST000220,12/8/2024,Chennai,Social
CUST000221,1/20/2025,Bengaluru,Organic
CUST000222,5/7/2025,Mumbai,Organic
CUST000229,6/11/2025,Ahmedabad,Paid
CUST000231,1/31/2025,Ahmedabad,Organic
CUST000233,7/13/2025,Chennai,Social
CUST000237,6/7/2025,Kolkata,Paid
CUST000239,5/26/2025,Delhi,Social
CUST000242,3/19/2025,Mumbai,Social
CUST000243,2/3/2025,Chennai,Social
CUST000245,4/20/2025,Hyderabad,Organic
CUST000247,6/6/2025,Bengaluru,Paid
CUST000252,12/3/2024,Delhi,Organic
CUST000256,6/15/2025,Delhi,Organic
CUST000257,3/14/2025,Bengaluru,Organic
CUST000258,6/10/2025,Bengaluru,Organic
CUST000261,5/26/2025,Delhi,Organic
CUST000265,3/15/2025,Chennai,Organic
CUST000266,5/7/2025,Mumbai,Paid
CUST000268,2/3/2025,Delhi,Referral
CUST000269,2/14/2025,Delhi,Organic
CUST000270,1/13/2025,Kolkata,Organic
CUST000276,7/12/2025,Mumbai,Paid
CUST000278,3/2/2025,Chennai,Paid
CUST000279,2/22/2025,Bengaluru,Paid
CUST000280,4/5/2025,Hyderabad,Referral
CUST000281,1/10/2025,Delhi,Paid
CUST000282,6/12/2025,Hyderabad,Referral
CUST000284,6/27/2025,Ahmedabad,Organic
CUST000285,2/17/2025,Chennai,Paid
CUST000286,12/21/2024,Mumbai,Organic
CUST000289,1/14/2025,Bengaluru,Paid
CUST000291,1/1/2025,Delhi,Organic
CUST000293,1/26/2025,Delhi,Organic
CUST000295,7/22/2025,Bengaluru,Paid
CUST000300,6/18/2025,Chennai,Paid
CUST000302,12/22/2024,Delhi,Paid
CUST000305,11/28/2024,Delhi,Paid
CUST000306,3/8/2025,Chennai,Organic
CUST000307,4/13/2025,Pune,Organic
CUST000308,7/20/2025,Pune,Organic
CUST000309,3/14/2025,Ahmedabad,Organic
CUST000310,12/29/2024,Bengaluru,Social
CUST000312,7/25/2025,Delhi,Paid
CUST000313,12/25/2024,Hyderabad,Organic
CUST000314,8/9/2025,Hyderabad,Referral
CUST000317,3/21/2025,Ahmedabad,Organic
CUST000318,3/29/2025,Chennai,Organic
CUST000319,4/22/2025,Mumbai,Organic
CUST000320,1/9/2025,Ahmedabad,Organic
CUST000324,2/16/2025,Chennai,Organic
CUST000325,12/23/2024,Chennai,Social
CUST000326,2/10/2025,Bengaluru,Organic
CUST000328,3/13/2025,Delhi,Organic
CUST000329,3/18/2025,Bengaluru,Organic
CUST000331,3/28/2025,Mumbai,Organic
CUST000332,1/3/2025,Bengaluru,Organic
CUST000334,2/23/2025,Mumbai,Organic
CUST000335,5/27/2025,Ahmedabad,Organic
CUST000337,12/31/2024,Mumbai,Referral
CUST000338,6/26/2025,Bengaluru,Paid
CUST000339,2/28/2025,Ahmedabad,Paid
CUST000342,3/13/2025,Mumbai,Referral
CUST000345,1/22/2025,Bengaluru,Referral
CUST000346,11/28/2024,Hyderabad,Referral
CUST000348,3/22/2025,Hyderabad,Social
CUST000350,1/31/2025,Hyderabad,Organic
CUST000351,5/3/2025,Bengaluru,Paid
CUST000353,12/21/2024,Ahmedabad,Organic
CUST000354,12/30/2024,Chennai,Organic
CUST000356,2/2/2025,Bengaluru,Paid
CUST000357,5/24/2025,Mumbai,Organic
CUST000361,5/7/2025,Chennai,Organic
CUST000363,2/13/2025,Bengaluru,Organic
CUST000364,1/17/2025,Bengaluru,Organic
CUST000365,2/20/2025,Delhi,Organic
CUST000366,1/26/2025,Bengaluru,Organic
CUST000369,4/15/2025,Chennai,Paid
CUST000371,2/24/2025,Delhi,Organic
CUST000373,4/20/2025,Bengaluru,Organic
CUST000374,6/9/2025,Hyderabad,Paid
CUST000376,8/3/2025,Bengaluru,Social
CUST000377,3/3/2025,Chennai,Social
CUST000386,2/15/2025,Pune,Organic
CUST000388,2/23/2025,Ahmedabad,Referral
CUST000389,6/6/2025,Chennai,Paid
CUST000391,12/14/2024,Kolkata,Organic
CUST000394,1/8/2025,Mumbai,Organic
CUST000395,12/13/2024,Bengaluru,Organic
